Newsletter,Tier,Priority,Audience,Est. cost low,Est. cost high,Best buy at 4k,Why it fits Brevo Ecom,Contact,Email,Booking route,Social / DM,Conflict flag,Outreach status
Chase Dimond,Tier 1 — Ecom & DTC,Buy first,"100k+, 46% open, 3x/week",2500,3500,Primary + social amplification,"Best single fit in the list. An email-marketing newsletter read by ecom founders — readers are actively shopping for an ESP. Omnisend already sponsors it.",Chase Dimond (owner),,https://www.chasedimond.com/sponsor,"X @ecomchasedimond · LinkedIn /in/chasedimond",,Not started
DTC Newsletter,Tier 1 — Ecom & DTC,Buy first,"~160k DTC founders & marketing execs, daily",3000,4000,"Primary, or 2 secondary slots","The default read for DTC operators. Tactical performance-marketing content — retention and email sit natively in it.",DTC team (Pilothouse Digital),team@directtoconsumer.co,https://www.directtoconsumer.co/advertise,"LinkedIn /company/dtc-mediateam · FB @getdtcnewsletter",,Not started
2PM,Tier 1 — Ecom & DTC,Test,"~25–60k commerce & media execs, weekly",2500,4000,Primary in a Monday memo,"Small list, most senior commerce audience anywhere. High CPM, worth it for credibility with mid-market buyers.",Web Smith (founder),,https://2pml.com/about/,X @web,,Not started
Future Commerce,Tier 1 — Ecom & DTC,Buy first,~40k + top-ranked commerce podcast,2000,4000,Newsletter + host-read podcast bundle,"Thought-leadership positioning with retail and DTC leaders. Sells newsletter, research and retail-media packages.",Phillip Jackson & Brian Lange (co-founders),,https://www.futurecommerce.com/advertise,"X @futurecommerce · LinkedIn /company/futurecommercemedia",,Not started
Ecommerce Fastlane,Tier 1 — Ecom & DTC,Buy first,"~28–50k Shopify merchants, 420+ podcast eps",1500,3500,Newsletter + full podcast episode,"Shopify-native audience run by an ex-Shopify merchant success manager. Explicitly sells merchant reach to vendors.",Steve Hutt (founder/host),steve@ecommercefastlane.com,https://ecommercefastlane.com/sponsorship/,"LinkedIn /in/shutt · X @stevenhutt",,Not started
eCommerceFuel,Tier 1 — Ecom & DTC,Test,"~15–25k, 7-figure store owners",1000,2500,Primary + community placement,"Smallest list here, highest revenue-per-reader. Vetted private community of established merchants.",Andrew Youderian (founder),,https://www.ecommercefuel.com/,"X @youderian · LinkedIn /in/andrew-youderian",,Not started
Lean Luxe,Tier 1 — Ecom & DTC,Test,~25–35k modern consumer-brand execs,1000,2500,Primary,"Premium DTC brand builders. Strong for mid-market positioning rather than volume.",Paul Munford (editor-in-chief),info@leanluxe.com,https://leanluxe.news/,"X @PaulMunford · X @LeanLuxe",,Not started
Talk Shop Daily,Tier 1 — Ecom & DTC,Test,"10k+ operators, daily, Shopify Discord community",500,1200,3–4 sends,"Cheap, daily, dead-on audience. The right place to test creative and frequency before spending on Tier 1 primaries.",Talk Shop community team,,https://www.letstalkshop.com/ecommerce-newsletter,Discord — Talk Shop server,,Not started
Shopifreaks,Tier 1 — Ecom & DTC,Test,"20k+, weekly ecom news, incl. platform execs",400,900,4+ sends,"Long-running independent roundup by Paul Drecksler. Cheapest credible ecom slot in the set.",Paul Drecksler (founder/editor),,https://www.shopifreaks.com/,"LinkedIn /in/paul-drecksler · X @shopifreaks",,Not started
Really Good Emails,Tier 2 — Email & CRM,Optional,~100k+ email marketers & designers,2000,4000,Primary,"Highest category intent of any list here. Conflict watch: acquired by BEE Pro (Apr 2024), an email-tooling vendor — confirm a Brevo ad clears review before planning spend.",RGE team (owned by BEE Pro),,https://reallygoodemails.com/,LinkedIn /company/reallygoodemails,Owned by BEE Pro (email-tooling vendor),Not started
Jay Schwedelson — Do This Not That,Tier 2 — Email & CRM,Optional,"50k+ email & marketing pros, #1 US marketing podcast",1000,2500,Primary + podcast mention,"Strong practitioner audience, but conflict watch: Jay is a Constant Contact brand ambassador and CC acquired GURU Conference (Jan 2026). Expect a competitive block.",Jay Schwedelson (GURU Media Hub),,https://www.jayschwedelson.com/newsletter,"LinkedIn /in/schwedelson · LinkedIn /company/gurumediahub",Constant Contact brand ambassador,Not started
Email Marketing Heroes,Tier 2 — Email & CRM,Buy first,~30k + podcast,1000,2500,Newsletter + podcast,"Ecom-leaning email automation audience. Host-read audio converts well against a low newsletter rate.",Rob & Kennedy (co-hosts),,https://www.emailmarketingheroes.com/,FB @emailmarketingheroes,,Not started
Stacked Marketer,Tier 3 — Marketing & growth,Buy first,"~90–100k performance marketers, daily",3500,4000,"Primary, or primary + Rounding Up The Stack bullet","~$100 CPM private rate — tight against the cap, but the audience is buyers. Book 3–4 weeks ahead; last-minute inventory is where discounts live.",Emanuel Manu Cinca (founder),,https://www.paved.com/sites/stacked-marketer,"LinkedIn /company/stacked-marketer · BuySellAds listing",,Not started
Demand Curve,Tier 3 — Marketing & growth,Buy first,"100k+, 50%+ open rate",2000,3000,Primary,"Exceptional open rate. Growth-playbook content that email and automation fits into naturally. Open sponsorship form.",Justin Setzer (CEO),,https://www.demandcurve.com/sponsorships,LinkedIn /company/demandcurve,,Not started
Marketing Examined,Tier 3 — Marketing & growth,Test,~200k growth marketers,2500,4000,Secondary slot only,"Reach has pushed the primary slot above the cap ($65–75k/month in sponsorship revenue). Buy the secondary and keep the frequency.",Alex Garcia (founder),,https://www.marketingexamined.com/,"X @alexgarcia_atx · LinkedIn /in/alex-garcia",,Not started
Marketing Examples,Tier 3 — Marketing & growth,Test,115–130k,3000,4000,Primary,"Copy and conversion case studies. Among the best raw reach-per-dollar at the top of the budget.",Harry Dry (founder),,https://marketingexamples.com/,"X @harrydry · LinkedIn /in/harrydry",,Not started
The Marketing Millennials,Tier 3 — Marketing & growth,Test,"~100k+, large social following",3000,4000,Primary + LinkedIn amplification,"Broad marketer reach with meaningful social spillover from Daniel Murray's own channels.",Workweek partnerships team,,https://workweek.com/partnerships/the-marketing-millennials/,"LinkedIn /in/daniel-murray-marketing · Linktree",,Not started
Why We Buy,Tier 3 — Marketing & growth,Test,"~63k list, 220k total audience",1500,3000,Primary,"Buyer-psychology angle pairs naturally with lifecycle, retention and automation messaging.","Katelyn Bourgoin (CEO, Customer Camp)",,https://customercamp.co/,"X @KateBour · LinkedIn /in/katebour",,Not started
Growth in Reverse,Tier 3 — Marketing & growth,Test,"~60k, deep-dive format",2000,3000,Primary,"Very high engagement per subscriber, and readers are themselves email and newsletter operators.",Chenell Basilio (founder),,https://growthinreverse.com/,"X @chenellco · LinkedIn /in/chenellco",,Not started
Starter Story,Tier 4 — Founders & tech,Optional,~100k+ founders,2000,4000,Primary,"Case-study format. Founders launching stores are a credible free-tier pipeline, weaker for mid-market.",Pat Walls (founder),,https://www.starterstory.com/,LinkedIn /in/patrickwalls,,Not started
Indie Hackers,Tier 4 — Founders & tech,Buy first,"230k+ builders, 30%+ open",750,1100,Multiple sends at the full-section rate,"Published rate card: $749 intro section, $1,099 full section. By far the best reach-per-dollar in this list.",IH ads team,,https://discover.buysellads.com/indie-hackers,"Passionfroot listing · indiehackers.com",,Not started
Failory,Tier 4 — Founders & tech,Optional,40k+ founders,800,1800,Primary + repeat,"Cheap, engaged startup audience with a long sponsorship track record.",Nico Cerdeira (founder),nico@failory.com,https://www.failory.com/,X @nicocerdeira,,Not started
Trends.vc,Tier 4 — Founders & tech,Optional,~50k operators,1000,2000,Primary,"Research-report format and high trust. Sponsorship inventory is deliberately limited, so book early.",Dru Riley (founder),support@trends.vc,https://sponsor.trends.vc/,X @DruRiley,,Not started
TLDR Marketing,Tier 4 — Founders & tech,Test,Segment of TLDR's 7.2M-reader network,2000,4000,Secondary/classified on the marketing edition,"The flagship is ~$15k and out of reach. Ask for the segmented edition rate card, not the network one.",TLDR sponsorships team,sponsors@tldr.tech,https://advertise.tldr.tech/,tldr.tech,,Not started
Sifted,Tier 4 — Founders & tech,Test,~100k European tech & startup,2000,4000,Primary,"The one buy that indexes on Europe rather than the US — relevant given where Brevo is strongest.",Sifted advertising team,marketing@sifted.eu,https://sifted.eu/advertising,sifted.eu/contact-us,,Not started
